,Maze,Metric,Alternative,P Value,Null Hypothesis
177,MazeE1-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
178,MazeE1-v0,pees_matching_non_aliased_states_list,larger,,Accept
179,MazeE1-v0,pees_matching_non_aliased_states_list,smaller,,Accept
180,MazeE1-v0,mean_reliable_classifier_specificity_list,two-sided,1.518445246050201e-203,Reject
181,MazeE1-v0,mean_reliable_classifier_specificity_list,larger,7.592226230251005e-204,Reject
182,MazeE1-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
183,MazeE1-v0,full_knowledge_first_trial_list,two-sided,5.972400827709758e-63,Reject
184,MazeE1-v0,full_knowledge_first_trial_list,larger,1.0,Accept
185,MazeE1-v0,full_knowledge_first_trial_list,smaller,2.986200413854879e-63,Reject
186,MazeE1-v0,full_knowledge_stable_trial_list,two-sided,2.3838989122148967e-56,Reject
187,MazeE1-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
188,MazeE1-v0,full_knowledge_stable_trial_list,smaller,1.1919494561074484e-56,Reject
189,MazeE2-v0,knowledge_list,two-sided,,Accept
190,MazeE2-v0,knowledge_list,larger,,Accept
191,MazeE2-v0,knowledge_list,smaller,,Accept
192,MazeE2-v0,population_list,two-sided,1.0021581614989353e-245,Reject
193,MazeE2-v0,population_list,larger,5.010790807494677e-246,Reject
194,MazeE2-v0,population_list,smaller,1.0,Accept
195,MazeE2-v0,reliable_list,two-sided,9.885579601522854e-77,Reject
196,MazeE2-v0,reliable_list,larger,4.942789800761427e-77,Reject
197,MazeE2-v0,reliable_list,smaller,1.0,Accept
198,MazeE2-v0,pees_matching_non_aliased_states_list,two-sided,0.0029803718560156237,Reject
199,MazeE2-v0,pees_matching_non_aliased_states_list,larger,0.9985098140719922,Accept
200,MazeE2-v0,pees_matching_non_aliased_states_list,smaller,0.0014901859280078119,Reject
201,MazeE2-v0,mean_reliable_classifier_specificity_list,two-sided,0.0,Reject
202,MazeE2-v0,mean_reliable_classifier_specificity_list,larger,0.0,Reject
203,MazeE2-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
204,MazeE2-v0,full_knowledge_first_trial_list,two-sided,3.706333217350428e-48,Reject
205,MazeE2-v0,full_knowledge_first_trial_list,larger,1.0,Accept
206,MazeE2-v0,full_knowledge_first_trial_list,smaller,1.853166608675214e-48,Reject
207,MazeE2-v0,full_knowledge_stable_trial_list,two-sided,8.993922396939311e-41,Reject
208,MazeE2-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
209,MazeE2-v0,full_knowledge_stable_trial_list,smaller,4.4969611984696554e-41,Reject
210,MiyazakiA-v0,knowledge_list,two-sided,,Accept
211,MiyazakiA-v0,knowledge_list,larger,,Accept
212,MiyazakiA-v0,knowledge_list,smaller,,Accept
213,MiyazakiA-v0,population_list,two-sided,6.852262937925778e-144,Reject
214,MiyazakiA-v0,population_list,larger,1.0,Accept
215,MiyazakiA-v0,population_list,smaller,3.426131468962889e-144,Reject
216,MiyazakiA-v0,reliable_list,two-sided,4.6229373802780523e-07,Reject
217,MiyazakiA-v0,reliable_list,larger,2.3114686901390262e-07,Reject
218,MiyazakiA-v0,reliable_list,smaller,0.999999768853131,Accept
219,MiyazakiA-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
220,MiyazakiA-v0,pees_matching_non_aliased_states_list,larger,,Accept
221,MiyazakiA-v0,pees_matching_non_aliased_states_list,smaller,,Accept
222,MiyazakiA-v0,mean_reliable_classifier_specificity_list,two-sided,5.487944076678743e-229,Reject
223,MiyazakiA-v0,mean_reliable_classifier_specificity_list,larger,2.7439720383393714e-229,Reject
224,MiyazakiA-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
225,MiyazakiA-v0,full_knowledge_first_trial_list,two-sided,0.00016790776713984404,Reject
226,MiyazakiA-v0,full_knowledge_first_trial_list,larger,8.395388356992202e-05,Reject
227,MiyazakiA-v0,full_knowledge_first_trial_list,smaller,0.99991604611643,Accept
228,MiyazakiA-v0,full_knowledge_stable_trial_list,two-sided,0.0054672069895262895,Reject
229,MiyazakiA-v0,full_knowledge_stable_trial_list,larger,0.0027336034947631448,Reject
230,MiyazakiA-v0,full_knowledge_stable_trial_list,smaller,0.9972663965052369,Accept
231,MiyazakiB-v0,knowledge_list,two-sided,,Accept
232,MiyazakiB-v0,knowledge_list,larger,,Accept
233,MiyazakiB-v0,knowledge_list,smaller,,Accept
234,MiyazakiB-v0,population_list,two-sided,3.0281767502393015e-53,Reject
235,MiyazakiB-v0,population_list,larger,1.0,Accept
236,MiyazakiB-v0,population_list,smaller,1.5140883751196508e-53,Reject
237,MiyazakiB-v0,reliable_list,two-sided,3.4917677184328183e-19,Reject
238,MiyazakiB-v0,reliable_list,larger,1.7458838592164092e-19,Reject
239,MiyazakiB-v0,reliable_list,smaller,1.0,Accept
240,MiyazakiB-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
241,MiyazakiB-v0,pees_matching_non_aliased_states_list,larger,,Accept
242,MiyazakiB-v0,pees_matching_non_aliased_states_list,smaller,,Accept
243,MiyazakiB-v0,mean_reliable_classifier_specificity_list,two-sided,1.2711431430338525e-205,Reject
244,MiyazakiB-v0,mean_reliable_classifier_specificity_list,larger,6.355715715169262e-206,Reject
245,MiyazakiB-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
246,MiyazakiB-v0,full_knowledge_first_trial_list,two-sided,4.7705548393699784e-11,Reject
247,MiyazakiB-v0,full_knowledge_first_trial_list,larger,2.3852774196849892e-11,Reject
248,MiyazakiB-v0,full_knowledge_first_trial_list,smaller,0.9999999999761472,Accept
249,MiyazakiB-v0,full_knowledge_stable_trial_list,two-sided,0.9873073925887814,Accept
250,MiyazakiB-v0,full_knowledge_stable_trial_list,larger,0.5063463037056093,Accept
251,MiyazakiB-v0,full_knowledge_stable_trial_list,smaller,0.4936536962943907,Accept
252,Woods100-v0,knowledge_list,two-sided,,Accept
253,Woods100-v0,knowledge_list,larger,,Accept
254,Woods100-v0,knowledge_list,smaller,,Accept
255,Woods100-v0,population_list,two-sided,3.1467838608464295e-37,Reject
256,Woods100-v0,population_list,larger,1.0,Accept
257,Woods100-v0,population_list,smaller,1.5733919304232147e-37,Reject
258,Woods100-v0,reliable_list,two-sided,2.8416822029030107e-97,Reject
259,Woods100-v0,reliable_list,larger,1.0,Accept
260,Woods100-v0,reliable_list,smaller,1.4208411014515053e-97,Reject
261,Woods100-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
262,Woods100-v0,pees_matching_non_aliased_states_list,larger,,Accept
263,Woods100-v0,pees_matching_non_aliased_states_list,smaller,,Accept
264,Woods100-v0,mean_reliable_classifier_specificity_list,two-sided,2.3962022153871985e-59,Reject
265,Woods100-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
266,Woods100-v0,mean_reliable_classifier_specificity_list,smaller,1.1981011076935993e-59,Reject
267,Woods100-v0,full_knowledge_first_trial_list,two-sided,0.03452985519676784,Accept
268,Woods100-v0,full_knowledge_first_trial_list,larger,0.9827350724016161,Accept
269,Woods100-v0,full_knowledge_first_trial_list,smaller,0.01726492759838392,Accept
270,Woods100-v0,full_knowledge_stable_trial_list,two-sided,0.03452985519676784,Accept
271,Woods100-v0,full_knowledge_stable_trial_list,larger,0.9827350724016161,Accept
272,Woods100-v0,full_knowledge_stable_trial_list,smaller,0.01726492759838392,Accept
273,Woods101-v0,knowledge_list,two-sided,,Accept
274,Woods101-v0,knowledge_list,larger,,Accept
275,Woods101-v0,knowledge_list,smaller,,Accept
276,Woods101-v0,population_list,two-sided,0.0023452183658063106,Reject
277,Woods101-v0,population_list,larger,0.0011726091829031553,Reject
278,Woods101-v0,population_list,smaller,0.9988273908170968,Accept
279,Woods101-v0,reliable_list,two-sided,2.8007272514189536e-60,Reject
280,Woods101-v0,reliable_list,larger,1.4003636257094768e-60,Reject
281,Woods101-v0,reliable_list,smaller,1.0,Accept
282,Woods101-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
283,Woods101-v0,pees_matching_non_aliased_states_list,larger,,Accept
284,Woods101-v0,pees_matching_non_aliased_states_list,smaller,,Accept
285,Woods101-v0,mean_reliable_classifier_specificity_list,two-sided,8.59728337057568e-20,Reject
286,Woods101-v0,mean_reliable_classifier_specificity_list,larger,4.29864168528784e-20,Reject
287,Woods101-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
288,Woods101-v0,full_knowledge_first_trial_list,two-sided,6.024916696615606e-06,Reject
289,Woods101-v0,full_knowledge_first_trial_list,larger,3.012458348307803e-06,Reject
290,Woods101-v0,full_knowledge_first_trial_list,smaller,0.9999969875416517,Accept
291,Woods101-v0,full_knowledge_stable_trial_list,two-sided,7.881121452491918e-05,Reject
