,Maze,Metric,Alternative,P Value,Null Hypothesis
214,MiyazakiA-v0,population_list,larger,0.9999379172486378,Accept
215,MiyazakiA-v0,population_list,smaller,6.208275136216455e-05,Reject
216,MiyazakiA-v0,reliable_list,two-sided,0.0005137793014804309,Reject
217,MiyazakiA-v0,reliable_list,larger,0.9997431103492598,Accept
218,MiyazakiA-v0,reliable_list,smaller,0.00025688965074021546,Reject
219,MiyazakiA-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
220,MiyazakiA-v0,pees_matching_non_aliased_states_list,larger,,Accept
221,MiyazakiA-v0,pees_matching_non_aliased_states_list,smaller,,Accept
222,MiyazakiA-v0,mean_reliable_classifier_specificity_list,two-sided,1.27503704634333e-21,Reject
223,MiyazakiA-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
224,MiyazakiA-v0,mean_reliable_classifier_specificity_list,smaller,6.37518523171665e-22,Reject
225,MiyazakiA-v0,full_knowledge_first_trial_list,two-sided,0.0,Reject
226,MiyazakiA-v0,full_knowledge_first_trial_list,larger,1.0,Accept
227,MiyazakiA-v0,full_knowledge_first_trial_list,smaller,0.0,Reject
228,MiyazakiA-v0,full_knowledge_stable_trial_list,two-sided,0.0,Reject
229,MiyazakiA-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
230,MiyazakiA-v0,full_knowledge_stable_trial_list,smaller,0.0,Reject
231,MiyazakiB-v0,knowledge_list,two-sided,0.0,Reject
232,MiyazakiB-v0,knowledge_list,larger,1.0,Accept
233,MiyazakiB-v0,knowledge_list,smaller,0.0,Reject
234,MiyazakiB-v0,population_list,two-sided,8.733411258476733e-05,Reject
235,MiyazakiB-v0,population_list,larger,0.9999563329437077,Accept
236,MiyazakiB-v0,population_list,smaller,4.3667056292383665e-05,Reject
237,MiyazakiB-v0,reliable_list,two-sided,0.0005984756200659062,Reject
238,MiyazakiB-v0,reliable_list,larger,0.9997007621899671,Accept
239,MiyazakiB-v0,reliable_list,smaller,0.0002992378100329531,Reject
240,MiyazakiB-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
241,MiyazakiB-v0,pees_matching_non_aliased_states_list,larger,,Accept
242,MiyazakiB-v0,pees_matching_non_aliased_states_list,smaller,,Accept
243,MiyazakiB-v0,mean_reliable_classifier_specificity_list,two-sided,5.2636599375123726e-11,Reject
244,MiyazakiB-v0,mean_reliable_classifier_specificity_list,larger,0.9999999999736817,Accept
245,MiyazakiB-v0,mean_reliable_classifier_specificity_list,smaller,2.6318299687561863e-11,Reject
